id,name,category,price,description
1,"Apple iPhone 15 Pro (128GB) - Natural Titanium",Smartphone,134900,"A17 Pro chip with 6-core GPU, Advanced camera system, Action Button"
2,"Samsung Galaxy S24+ 5G (256GB) - Onyx Black",Smartphone,89999,"50MP Triple Camera, 6.7-inch Dynamic AMOLED 2X Display, 4900mAh Battery"
3,"Apple MacBook Pro (14-inch, M3, 8GB RAM, 512GB SSD)",Laptop,169900,"M3 chip with 8-core CPU, 10-core GPU, 14-inch Liquid Retina XDR display"
4,"ASUS Vivobook 15 (Intel Core i5-12th Gen, 8GB RAM, 512GB SSD)",Laptop,54990,"15.6-inch FHD Display, Windows 11 Home, MS Office 2021, Silver"
5,"OnePlus Buds Pro 2 True Wireless Earbuds",Speakers,11999,"Spatial Audio, Smart Adaptive Noise Cancellation, 39H Playtime"
6,"Sony WH-1000XM5 Wireless Noise Canceling Headphones",Speakers,29990,"Industry Leading Noise Cancellation, 30Hr Battery, Quick Charge"
7,"Realme 11 Pro+ 5G (256GB) - Sunrise Beige",Smartphone,27999,"200MP OIS Camera, 6.7-inch Curved Vision Display, 100W SUPERVOOC"
8,"HP Pavilion Gaming Laptop (AMD Ryzen 5, GTX 1650, 8GB RAM)",Laptop,65990,"15.6-inch FHD 144Hz Display, 512GB SSD, Windows 11 Home"
9,"Samsung Galaxy Watch 6 Classic (43mm) - Graphite",Smartwatch,32999,"Health monitoring, Sleep tracking, 40+ workout modes, Long battery life"
10,"boAt Rockerz 550 Over Ear Wireless Headphones",Speakers,1999,"50mm drivers, 20H playtime, Bluetooth 5.0, Physical Noise Isolation"
